公司名称,主营业务,公司地址,注册资本,公司简介,固定电话,法定代表人,经理手机,电子邮件,获取报价,邮政编码,法人名称,简称,主要经营产品,经营范围,营业执照号码,发证机关,经营状态,经营模式,成立时间,职员人数,公司官网,所属分类,类型
福建省中海石化有限公司, 汽油、柴油、石油天然气、成品油的运输、批发、零售：清洁能源、再生能源、新能源开发；化工产品（不含危险...,福建省莆田市城厢区荔园路北侧喜盈门建材家具广场1#1603,成立时间：2011-11-08,中海石化(福建)有限公司成立于2011年11月8日，注册资金1亿万。公司主要经营石油化工能源的批发及零售、艺术品的投资、房地产开发三大领域。公司旗下现在有员工1000多人，在福建，河南、湖南、安徽、浙江、四川、江西、重庆等地拥有独资、控股三十余座加油站。??公司秉承“诚信经营、客户至上”的经营理念，始终坚持用的服务打动客户，用真诚的品质留住客户，在中原地区逐步树立企业品牌。公司目前处于快速扩张期，下一步将向东南沿海等经济发达地区极积布局，力争成为全国性石化名企；在做好石化主营业务的同时适时向投资及房地产领域进军。我们相信，通过我们的不懈努力和追求，在公司实现跨越发展的同时，一定能实现与诸位客户的互利共赢。 ????????????????????????联系人：张先生/张建国电 ??话：13706068899??热线电话：400-9640988传真0594-6615999电话0594-6613999电话0594-6600066公司地址：福建省莆田市荔园北路喜盈门国际大厦1#1603????,-594,张先生,18322955555,3466695078@qq.com,让卖家联系我,351100,福建省中海石化有限公司,中海石化,汽油、柴油、石油天然气、成品油的运输、批发、零售：清洁能源、再生能源、新能源开发；化工产品（不含危险化学品）、电子产品、矿产品、工艺品、仿古家具、皮具、鞋服、钢材的批发、零售；生物技术研发；事业投资管理；企业资产管理（不含证券，期货、金融、保险）；房地产开发。,汽油、柴油、石油天然气、成品油的运输、批发、零售；清洁能源、再生能源、新能源开发；化工产品（不含危险化学品）、电子产品、矿产品、工艺品、仿古家具、皮具、鞋服、钢材、日用百货、办公用品的批发、零售；生物技术研发；实业投资管理；企业资产管理（不含证劵、期货、金融、保险）。（依法须经批准的项目，经相关部门...,91350300585318988H,莆田市市场监督管理局,存续,销售,2011年11月8日,1人,http://www.fjzhsh.com/,天然原油和天然气开采,有限责任公司(自然人投资或控股)
新疆通奥油田技术服务有限公司, 石油专用管材、设备工具的加工、销售、修理及租赁服务；石油钻井设备、工具、原材料（除易然易爆）的销售、...,新疆巴州轮台县红桥石油服务区 - ,5100万 (万元),新疆通奥油田技术服务有限公司，办公室地址位于华夏第一州巴音郭楞，新疆巴州轮台县红桥石油服务区，我公司主要提供进出口贸易;石油专用管材、石油设备、井控装备、工具的检测、加工、销售、修理、防腐、涂层；石油钻井设备、工具、原材料的销售；石油钻井设备、工具租赁；检测服务；井下作业；油田技术服务*,0996-2252763 未核实，仅供参考,,,denghenghui@antonoil.com,让卖家联系我,841600,新疆通奥油田技术服务有限公司,通奥油田技术服务,石油专用管材、设备工具的加工、销售、修理及租赁服务；石油钻井设备、工具、原材料（除易然易爆）的销售、油田相关的配套技术服务。,进出口贸易;石油专用管材、石油设备、井控装备、工具的检测、加工、销售、修理、防腐、涂层；石油钻井设备、工具、原材料的销售；石油钻井设备、工具租赁；检测服务；井下作业；油田技术服务*,6.53E+14,巴音郭楞蒙古自治州市场监督管理局,存续,,2002年2月21日,5人,,天然原油和天然气开采,公司
中国石油天然气股份有限公司华北油田分公司, 手公司委托陆上石油 天然气勘查 生产销售;炼油 石油化工 化工产品的生产销售,河北省任丘市会战道 - ,成立时间：1999-12-28,"华北油田公司位于河北省任丘市，毗邻着名的“华北明珠”白洋淀，地处京、津、石、沧腹地，勘探开发领域分布在冀中、内蒙古中部、冀南-南华北和山西沁水盆地4大探区56个油气田，目前年原油生产能力450万吨，天然气生产能力5.5亿立方米。公司下属二级单位45个，机关处室18个，直属及附属单位25个，在职员工48000大探区56个油气田，目前年原油生产能力450万吨，天然气生产能力5.5亿立方米。公司下属二级单位45多人。华北油田的勘探开发建设始于上个世纪70年代。1975大探区56个油气田，目前年原油生产能力450万吨，天然气生产能力5.5亿立方米。公司下属二级单位45年7月任4井获得高产油流，宣告华北油田诞生。1976大探区56个油气田，目前年原油生产能力450万吨，天然气生产能力5.5亿立方米。公司下属二级单位45年1月成立华北石油会战指挥部，1999年10大探区56个油气田，目前年原油生产能力450万吨，天然气生产能力5.5亿立方米。公司下属二级单位45月重组分立为华北石油管理局和华北油田公司。2008年2月重组整合为华北油田公司。大探区56个油气田，目前年原油生产能力450万吨，天然气生产能力5.5亿立方米。公司下属二级单位4532年来，华北油田创造了一系列业绩，第一个确立了“古潜山”、“新生古储”概念新理论，实现了当年勘探、当年建设、当年开发、当年收回国家投资，建成了中国大碳酸盐岩高产大油田，曾连续10年稳产1000万吨以上，原油nt-family:'TimesNewRoman'\"">大探区56个油气田，目前年原油生产能力450万吨，天然气生产能力5.5亿立方米。公司下属二级单位451773万吨，为全国石油产量突破亿万吨大关做出了重大贡献。累计生产原油2.37亿吨，天然气89.67大探区56个油气田，目前年原油生产能力450万吨，天然气生产能力5.5亿立方米。公司下属二级单位45亿立方米，在中国石油油气田中名列第四。今后一个时期，华北油田公司将秉承“奉献能源、创造和谐”的企业宗旨，紧紧围绕科学发展、构建和谐主体，大力实施“持续、有效、稳定”发展战略，突出油气勘探开发和新能源领域工作，实现每年新增可采储量600万吨以上，每年新建产能60大探区56个油气田，目前年原油生产能力450万吨，天然气生产能力5.5亿立方米。公司下属二级单位45万吨以上，“十一五”末油气当量达到600万吨，到“十二五”提升至800万吨、逼近1000万吨，谱写二次创业、重铸的新篇章！\r\r公司地址：河北省任丘市东马路17号",0317-2725804 未核实，仅供参考,,,lzc_mtq@petrochina.com.cn,让卖家联系我,62552,中国石油天然气股份有限公司华北油田分公司,中国石油天然气,手公司委托陆上石油 天然气勘查 生产销售;炼油 石油化工 化工产品的生产销售,受公司委托陆上石油、天然气勘查、生产、销售；石油天然气管道运营；石油勘查、开采及相关工程的技术开发、咨询服务；房屋租赁；自有设备租赁（法律、法规、国务院决定或需审批的除外）。,91130000721634003D,任丘市市场监督管理局,存续,,1999年12月28日,19600人,http://www.petrochin,天然原油和天然气开采,股份有限公司分公司(上市、国有控股)
华北油田诚信工业有限公司, 机械加工，研制，工具制造,华油井下 - ,66(万元) (万元),华北油田诚信工业有限公司，办公室地址位于石油化工基地和北方重要陆海交通枢纽沧州，华油井下，我公司主要提供机械加工，研制，工具制造,0317-2739259 未核实，仅供参考,,,,让卖家联系我,62552,华北油田诚信工业有限公司,华北油田诚信工业,机械加工，研制，工具制造,未知,,,在业,,,,,天然原油和天然气开采,
大庆油田有限责任公司, 原油，开采,黑龙江省大庆市让胡路区龙南 - ,4 750 000万人民币 (万元),本公司长年受理婚礼、旅游用车！本公司长年受理婚礼、旅游用车！本公司长年受理婚礼、旅游用车！本公司长年受理婚礼、旅游用车！本公司长年受理婚礼、旅游用车！本公司长年受理婚礼、旅游用车！本公司长年受理婚礼、旅游用车！本公司长年受理婚礼、旅游用车！地址：大庆市东风新村,0459-5990801 未核实，仅供参考,,,hwangrf@petrochina.com.cn,让卖家联系我,163453,大庆油田有限责任公司,油田,原油，开采,石油天然气勘探、生产、技术研发、技术咨询服务及矿产品营销；盆地及周边相关矿产资源勘探、生产及矿产品营销；自营进出口、对外经济技术合作；石油钻采专用设备生产；射孔器材加工；储罐、管道物理清洗、维修及技术服务；油气计量技术开发和技术咨询服务；井下工具研发、生产、销售及维修；道路运输服务（见《道路运输经营...,91230607716675409L,大庆高新技术产业开发区市场监督管理局,存续,,2000年1月1日,106000人,,天然原油和天然气开采,有限责任公司（非自然人投资或控股的法人独资）
大庆油田有限责任公司第七采油厂, 原油，天然气，开采,庆葡村 - ,成立时间：1975-09-01,欢迎来到大庆油田有限责任公司第七采油厂，一家自1975年09月01日起就在中国第一大油田所在地大庆扎根的天然原油和天然气开采制造业企业。坐落于庆葡村，我们以原油，天然气，开采为核心业务，成立以来，油田已有49年的发展历程。我公司不仅积累了丰富的制造和设计经验，还建立了一个以质量和创新为驱动的企业文化。 带领着一支由和经验丰富的4600名工程师组成的团队，致力于将先进的制造技术和严格的质量控制标准应用到每一个产品之中。,(0459)4498667 未核实，仅供参考,,,,让卖家联系我,163517,大庆油田有限责任公司第七采油厂,油田,原油，天然气，开采,,,,在业,,1975年9月1日,4600人,,天然原油和天然气开采,
大庆油田有限责任公司采油工艺研究所, 采油，工艺，研究，技术，推广,西宾路９号 - ,1076(万元) (万元),大庆油田有限责任公司采油工艺研究所，办公室地址位于中国第一大油田所在地大庆，西宾路９号，我公司主要提供采油，工艺，研究，技术，推广,(0459)5973308 未核实，仅供参考,,,,让卖家联系我,163453,大庆油田有限责任公司采油工艺研究所,油田,采油，工艺，研究，技术，推广,未知,,,在业,,1971年8月20日,990人,,天然原油和天然气开采,
大庆油田创业金属防腐有限公司, 石油专用管材，民用建筑管材防腐产品，焊管异型管，生产,黑龙江省大庆市红岗区红卫村 - ,2 530万元 (万元),大庆油田创业金属防腐有限公司，办公室地址位于中国第一大油田所在地大庆，黑龙江省大庆市红岗区红卫村，我公司主要提供普通钢材和石油专用管材的制造、防腐加工、销售、维修服务；防腐保温工程服务；焊管异型管生产、销售；机械加工；金属表面处理及热处理加工；抽油杆加工、销售、维修服务；抽油泵的生产、销售；塑料颗粒的销售；石油钻采设备销售及维修服务；道路普通货物运输。,0459-4893315 未核实，仅供参考,,,ctzlhm@126.com,让卖家联系我,163412,大庆油田创业金属防腐有限公司,油田创业金属防腐,石油专用管材，民用建筑管材防腐产品，焊管异型管，生产,普通钢材和石油专用管材的制造、防腐加工、销售、维修服务；防腐保温工程服务；焊管异型管生产、销售；机械加工；金属表面处理及热处理加工；抽油杆加工、销售、维修服务；抽油泵的生产、销售；塑料颗粒的销售；石油钻采设备销售及维修服务；道路普通货物运输。,9123060573127622XE,大庆市红岗区市场监督管理局,存续,,2001年10月25日,90人,,天然原油和天然气开采,公司
中国石化胜利油田有限公司临盘采油厂, 油气开采，油水井测试，汽车修理，机械加工，建筑安装，货物运输,临盘镇 - ,成立时间：2000-11-23,欢迎来到中国石化胜利油田有限公司临盘采油厂，一家自2000年11月23日起就在山东省的北大门的德州扎根的天然原油和天然气开采制造业企业。坐落于临盘镇，我们以油气开采，油水井测试，汽车修理，机械加工，建筑安装，货物运输为核心业务，成立以来，中国石化胜利油田已有23年的发展历程。我公司不仅积累了丰富的制造和设计经验，还建立了一个以质量和创新为驱动的企业文化。 带领着一支由和经验丰富的5000名工程师组成的团队，致力于将先进的制造技术和严格的质量控制标准应用到每一个产品之中。,(0534)8861291 未核实，仅供参考,,,,让卖家联系我,251507,中国石化胜利油田有限公司临盘采油厂,中国石化胜利油田,油气开采，油水井测试，汽车修理，机械加工，建筑安装，货物运输,未知,,,在业,,2000年11月23日,5000人,,天然原油和天然气开采,
胜利油田华海石油科技有限责任公司, 石油技术开发、服务，钻井新技术产品推广；油田专用工具和仪表制造、销售；建材、办公自动化设备销售。,东城开发区沂州路中段 - ,100 (万元),胜利华海石油科技有限责任公司是一家集钻井工程技术研究、现场技术服务、定向井专用工具开发为一体的专业化公司。能承担定向井、水平井和各类特殊工艺井的工程设计、现场施工。自公司成立以来共施工水平井110余口、定向井220多口，部分井型的难度及技术指标已接近或超过国内外同行水平。目前公司已配套形成年完成各类定向井、水平井20多口的生产能力，固定资产达1850万元，公司共有职工65人，现场技术服务人员36人，其中包括6名具有14年施工经验的定向井、水平井工程师，8名具有5年以上工作经验的MWD及有线测量工程师，专职马达维修技术人员5名。我们愿以精良的仪器设备，的人员和成熟的定向井、水平井技术为用户提供、快速、的服务，使用户获得大的投资回报。近年来，公司面向国内外市场提供定向井技术服务，取得良好的声誉。已为国内外多家油田提供技术服务，如新疆塔里木、塔河、辽河、江汉、渤海、吉林、江苏、长庆、和大港及蒙古国等。不但将定向井技术应用于油气勘探生产，而且将此技术扩展到盐矿、煤矿及芒硝矿，为地方企业的发展提供了有力的支持。公司业务服务范围：公司主要承担定向井、水平井和各类特殊工艺井的工程设计、现场施工，各类定向井仪器的检测和维修。公司服务范围主要包括：定向井设计、施工；套管开窗侧钻井设计、施工；大位移延伸井设计、施工；大组丛式井设计、施工；水平探井设计、施工；一井双探水平井设计、施工；长裸眼水平井设计、施工；三维绕障水平井设计、施工；多目标水平井设计、施工；阶梯式水平井设计、施工；超深水平井设计、施工；连通水平井设计、施工；短半径水平井设计、施工；YST、ESS、YSS随钻单多点测量服务；??MWD无线随钻测量服务；包括提供：弯壳体马达、无磁钻铤、无磁加重钻杆、扶正器、套管开窗工具（段铣器、斜向器）在内的各种井下工具。,(0546)139546667568 未核实，仅供参考,,,,让卖家联系我,257091,胜利油田华海石油科技有限责任公司,胜利油田华海石油,石油技术开发、服务，钻井新技术产品推广；油田专用工具和仪表制造、销售；建材、办公自动化设备销售。,未知,,,在业,,2002年2月7日,5人,,天然原油和天然气开采,
